site_type,Coordination_Number,Pt1,Fe1,Co1,Ni1,Cu1,Zn1,Pt2,Fe2,Co2,Ni2,Cu2,Zn2,Pt3,Fe3,Co3,Ni3,Cu3,Zn3,Pt_Ratio,Fe_Ratio,Co_Ratio,Ni_Ratio,Cu_Ratio,Zn_Ratio
PtCo,8,1,0,1,0,0,0,3,1,0,0,1,1,0,1,2,0,0,3,0.25,0.0625,0.1875,0.0625,0.125,0.3125
PtZn,8,1,0,0,0,0,1,3,1,1,0,1,0,0,0,2,0,1,3,0.25,0.0625,0.1875,0.0625,0.125,0.3125
PtCu,8,1,0,0,0,1,0,3,1,1,0,0,1,0,1,2,0,1,2,0.25,0.0625,0.1875,0.0625,0.125,0.3125
CoZn,8,0,0,1,0,0,1,0,0,1,0,2,3,3,0,0,0,1,2,0.25,0.0625,0.1875,0.0625,0.125,0.3125
CoCu,8,0,0,1,0,1,0,0,0,1,0,0,5,3,0,0,0,1,2,0.25,0.0625,0.1875,0.0625,0.125,0.3125
CoCo,8,0,0,2,0,0,0,0,1,0,0,1,4,3,0,1,0,1,1,0.25,0.0625,0.1875,0.0625,0.125,0.3125
FeZn,8,0,1,0,0,0,1,0,0,2,0,1,3,3,0,1,0,0,2,0.25,0.0625,0.1875,0.0625,0.125,0.3125
ZnZn,8,0,0,0,0,0,2,0,1,2,0,1,2,3,0,1,0,1,1,0.25,0.0625,0.1875,0.0625,0.125,0.3125
CoZn,8,0,0,1,0,0,1,0,0,1,0,1,4,3,0,1,0,1,1,0.25,0.0625,0.1875,0.0625,0.125,0.3125
ZnZn,8,0,0,0,0,0,2,0,1,2,0,1,2,3,0,1,0,0,2,0.25,0.0625,0.1875,0.0625,0.125,0.3125
CuZn,8,0,0,0,0,1,1,0,1,2,0,0,3,3,0,1,0,1,1,0.25,0.0625,0.1875,0.0625,0.125,0.3125
FeCo,8,0,1,1,0,0,0,0,0,2,2,1,1,3,1,1,0,1,0,0.25,0.0625,0.3125,0.15625,0.1875,0.03125
CoCo,8,0,0,2,0,0,0,0,1,1,2,1,1,3,1,1,0,1,0,0.25,0.0625,0.3125,0.15625,0.1875,0.03125
CoNi,8,0,0,1,1,0,0,0,1,2,1,1,1,3,0,1,1,1,0,0.25,0.0625,0.3125,0.15625,0.1875,0.03125
NiZn,8,0,0,0,1,0,1,0,1,3,1,1,0,3,0,1,1,1,0,0.25,0.0625,0.3125,0.15625,0.1875,0.03125
CoCu,8,0,0,1,0,1,0,0,1,2,2,0,1,3,0,1,1,1,0,0.25,0.0625,0.3125,0.15625,0.1875,0.03125
CuZn,8,0,0,0,0,1,1,0,1,3,2,0,0,3,0,1,1,1,0,0.25,0.0625,0.3125,0.15625,0.1875,0.03125
CoCu,8,0,0,1,0,1,0,0,1,2,2,0,1,3,1,0,1,1,0,0.25,0.0625,0.3125,0.15625,0.1875,0.03125
NiCu,8,0,0,0,1,1,0,0,1,3,1,0,1,3,1,0,1,1,0,0.25,0.0625,0.3125,0.15625,0.1875,0.03125
PtNi,8,1,0,0,1,0,0,3,1,1,0,1,0,0,0,3,1,2,0,0.25,0.0625,0.3125,0.15625,0.1875,0.03125
PtCu,8,1,0,0,0,1,0,3,1,1,1,0,0,0,0,4,0,2,0,0.25,0.0625,0.3125,0.15625,0.1875,0.03125
PtNi,8,1,0,0,1,0,0,3,1,1,0,1,0,0,0,2,1,3,0,0.25,0.0625,0.3125,0.15625,0.1875,0.03125
PtFe,8,1,1,0,0,0,0,3,0,1,1,1,0,0,0,3,1,2,0,0.25,0.0625,0.3125,0.15625,0.1875,0.03125
PtCo,8,1,0,1,0,0,0,3,0,0,1,1,1,0,1,1,2,2,0,0.25,0.09375,0.15625,0.21875,0.25,0.03125
PtNi,8,1,0,0,1,0,0,3,0,1,0,1,1,0,0,2,1,3,0,0.25,0.09375,0.15625,0.21875,0.25,0.03125
PtZn,8,1,0,0,0,0,1,3,0,1,1,1,0,0,1,1,2,2,0,0.25,0.09375,0.15625,0.21875,0.25,0.03125
PtNi,8,1,0,0,1,0,0,3,0,1,0,1,1,0,0,2,2,2,0,0.25,0.09375,0.15625,0.21875,0.25,0.03125
PtCo,8,1,0,1,0,0,0,3,0,0,1,1,1,0,1,2,1,2,0,0.25,0.09375,0.15625,0.21875,0.25,0.03125
FeCu,8,0,1,0,0,1,0,0,0,2,2,2,0,3,1,0,1,1,0,0.25,0.09375,0.15625,0.21875,0.25,0.03125
CuCu,8,0,0,0,0,2,0,0,1,2,2,1,0,3,1,0,1,1,0,0.25,0.09375,0.15625,0.21875,0.25,0.03125
NiNi,8,0,0,0,2,0,0,0,1,2,0,3,0,3,0,1,1,1,0,0.25,0.09375,0.15625,0.21875,0.25,0.03125
NiCu,8,0,0,0,1,1,0,0,1,2,1,2,0,3,1,1,1,0,0,0.25,0.09375,0.15625,0.21875,0.25,0.03125
NiCu,8,0,0,0,1,1,0,0,1,2,1,2,0,3,0,1,1,1,0,0.25,0.09375,0.15625,0.21875,0.25,0.03125
CoNi,8,0,0,1,1,0,0,0,1,1,1,3,0,3,1,1,1,0,0,0.25,0.09375,0.15625,0.21875,0.25,0.03125
CoCu,8,0,0,1,0,1,0,0,1,1,2,2,0,3,1,1,0,1,0,0.25,0.09375,0.15625,0.21875,0.25,0.03125
CoCu,8,0,0,1,0,1,0,0,1,1,2,2,0,3,0,1,1,1,0,0.25,0.09375,0.15625,0.21875,0.25,0.03125
CoNi,8,0,0,1,1,0,0,0,1,1,1,3,0,3,0,1,1,1,0,0.25,0.09375,0.15625,0.21875,0.25,0.03125
CoZn,8,0,0,1,0,0,1,0,0,2,2,2,0,3,0,1,1,0,1,0.25,0.09375,0.25,0.1875,0.15625,0.0625
CoCu,8,0,0,1,0,1,0,0,0,2,2,1,1,3,0,1,1,1,0,0.25,0.09375,0.25,0.1875,0.15625,0.0625
CuZn,8,0,0,0,0,1,1,0,0,3,2,1,0,3,0,1,1,0,1,0.25,0.09375,0.25,0.1875,0.15625,0.0625
CoZn,8,0,0,1,0,0,1,0,0,2,2,2,0,3,0,0,1,1,1,0.25,0.09375,0.25,0.1875,0.15625,0.0625
CoNi,8,0,0,1,1,0,0,0,0,2,1,2,1,3,0,1,0,1,1,0.25,0.09375,0.25,0.1875,0.15625,0.0625
NiNi,8,0,0,0,2,0,0,0,0,3,0,2,1,3,0,0,1,1,1,0.25,0.09375,0.25,0.1875,0.15625,0.0625
CoNi,8,0,0,1,1,0,0,0,0,2,1,2,1,3,0,0,1,1,1,0.25,0.09375,0.25,0.1875,0.15625,0.0625
NiZn,8,0,0,0,1,0,1,0,0,3,1,2,0,3,0,0,1,1,1,0.25,0.09375,0.25,0.1875,0.15625,0.0625
PtFe,8,1,1,0,0,0,0,3,0,1,1,1,0,0,0,2,1,2,1,0.25,0.09375,0.25,0.1875,0.15625,0.0625
PtNi,8,1,0,0,1,0,0,3,1,1,0,1,0,0,0,2,2,1,1,0.25,0.09375,0.25,0.1875,0.15625,0.0625
PtNi,8,1,0,0,1,0,0,3,1,1,0,1,0,0,0,3,2,0,1,0.25,0.09375,0.25,0.1875,0.15625,0.0625
PtCu,8,1,0,0,0,1,0,3,0,2,0,0,1,0,0,4,0,2,0,0.25,0.09375,0.375,0.0625,0.125,0.09375
PtZn,8,1,0,0,0,0,1,3,0,2,0,1,0,0,0,2,0,2,2,0.25,0.09375,0.375,0.0625,0.125,0.09375
PtZn,8,1,0,0,0,0,1,3,0,2,0,1,0,0,0,3,0,1,2,0.25,0.09375,0.375,0.0625,0.125,0.09375
CoCo,8,0,0,2,0,0,0,0,0,2,0,2,2,3,1,1,1,0,0,0.25,0.09375,0.375,0.0625,0.125,0.09375
CoCo,8,0,0,2,0,0,0,0,0,2,0,2,2,3,1,2,0,0,0,0.25,0.09375,0.375,0.0625,0.125,0.09375
CoZn,8,0,0,1,0,0,1,0,0,3,0,2,1,3,1,2,0,0,0,0.25,0.09375,0.375,0.0625,0.125,0.09375
CoCu,8,0,0,1,0,1,0,0,0,3,0,1,2,3,1,1,1,0,0,0.25,0.09375,0.375,0.0625,0.125,0.09375
CuZn,8,0,0,0,0,1,1,0,0,4,0,1,1,3,1,2,0,0,0,0.25,0.09375,0.375,0.0625,0.125,0.09375
CoCu,8,0,0,1,0,1,0,0,0,3,0,1,2,3,1,2,0,0,0,0.25,0.09375,0.375,0.0625,0.125,0.09375
CuCu,8,0,0,0,0,2,0,0,0,4,0,0,2,3,1,1,1,0,0,0.25,0.09375,0.375,0.0625,0.125,0.09375
CoCu,8,0,0,1,0,1,0,0,0,3,0,1,2,3,0,2,1,0,0,0.25,0.09375,0.375,0.0625,0.125,0.09375
NiNi,8,0,0,0,2,0,0,0,2,0,2,2,0,3,1,0,1,0,1,0.25,0.125,0.0625,0.34375,0.0625,0.15625
NiCu,8,0,0,0,1,1,0,0,2,0,3,1,0,3,1,0,1,0,1,0.25,0.125,0.0625,0.34375,0.0625,0.15625
FeNi,8,0,1,0,1,0,0,0,1,0,3,2,0,3,0,0,2,0,1,0.25,0.125,0.0625,0.34375,0.0625,0.15625
NiNi,8,0,0,0,2,0,0,0,2,0,2,2,0,3,1,0,2,0,0,0.25,0.125,0.0625,0.34375,0.0625,0.15625
FeNi,8,0,1,0,1,0,0,0,1,0,3,2,0,3,1,0,1,0,1,0.25,0.125,0.0625,0.34375,0.0625,0.15625
FeCu,8,0,1,0,0,1,0,0,1,0,4,1,0,3,1,0,2,0,0,0.25,0.125,0.0625,0.34375,0.0625,0.15625
NiCu,8,0,0,0,1,1,0,0,2,0,3,1,0,3,1,0,2,0,0,0.25,0.125,0.0625,0.34375,0.0625,0.15625
FeNi,8,0,1,0,1,0,0,0,1,0,3,2,0,3,1,0,2,0,0,0.25,0.125,0.0625,0.34375,0.0625,0.15625
FeFe,8,0,2,0,0,0,0,0,0,0,4,2,0,3,1,0,1,0,1,0.25,0.125,0.0625,0.34375,0.0625,0.15625
PtNi,8,1,0,0,1,0,0,3,1,1,0,0,1,0,2,0,2,2,0,0.25,0.125,0.0625,0.34375,0.0625,0.15625
PtFe,8,1,1,0,0,0,0,3,0,1,1,0,1,0,2,0,3,1,0,0.25,0.125,0.0625,0.34375,0.0625,0.15625
PtZn,8,1,0,0,0,0,1,3,1,1,1,0,0,0,2,0,2,2,0,0.25,0.125,0.0625,0.34375,0.0625,0.15625
FeZn,8,0,1,0,0,0,1,0,0,3,0,2,1,3,0,2,0,1,0,0.25,0.125,0.28125,0.03125,0.21875,0.09375
CuZn,8,0,0,0,0,1,1,0,1,3,0,1,1,3,0,2,0,1,0,0.25,0.125,0.28125,0.03125,0.21875,0.09375
CoCo,8,0,0,2,0,0,0,0,1,1,0,2,2,3,1,2,0,0,0,0.25,0.125,0.28125,0.03125,0.21875,0.09375
CoZn,8,0,0,1,0,0,1,0,1,2,0,2,1,3,1,1,0,1,0,0.25,0.125,0.28125,0.03125,0.21875,0.09375
CoCo,8,0,0,2,0,0,0,0,1,1,0,2,2,3,1,1,0,1,0,0.25,0.125,0.28125,0.03125,0.21875,0.09375
CoCu,8,0,0,1,0,1,0,0,1,2,0,1,2,3,1,2,0,0,0,0.25,0.125,0.28125,0.03125,0.21875,0.09375
PtFe,8,1,1,0,0,0,0,3,0,1,0,1,1,0,1,3,0,1,1,0.25,0.125,0.28125,0.03125,0.21875,0.09375
PtFe,8,1,1,0,0,0,0,3,0,1,1,0,1,0,2,3,1,0,0,0.25,0.125,0.34375,0.1875,0.0625,0.03125
PtNi,8,1,0,0,1,0,0,3,1,1,0,0,1,0,0,4,2,0,0,0.25,0.125,0.34375,0.1875,0.0625,0.03125
PtFe,8,1,1,0,0,0,0,3,0,1,1,0,1,0,2,2,2,0,0,0.25,0.125,0.34375,0.1875,0.0625,0.03125
CoCo,8,0,0,2,0,0,0,0,0,2,2,2,0,3,1,1,1,0,0,0.25,0.125,0.34375,0.1875,0.0625,0.03125
CoCu,8,0,0,1,0,1,0,0,0,3,2,1,0,3,1,1,1,0,0,0.25,0.125,0.34375,0.1875,0.0625,0.03125
CoCo,8,0,0,2,0,0,0,0,0,2,2,2,0,3,0,1,1,0,1,0.25,0.125,0.34375,0.1875,0.0625,0.03125
CoNi,8,0,0,1,1,0,0,0,0,3,1,2,0,3,1,0,1,0,1,0.25,0.125,0.34375,0.1875,0.0625,0.03125
NiCu,8,0,0,0,1,1,0,0,0,4,1,1,0,3,1,1,1,0,0,0.25,0.125,0.34375,0.1875,0.0625,0.03125
CoNi,8,0,0,1,1,0,0,0,0,3,1,2,0,3,1,1,1,0,0,0.25,0.125,0.34375,0.1875,0.0625,0.03125
NiNi,8,0,0,0,2,0,0,0,0,4,0,2,0,3,1,0,1,0,1,0.25,0.125,0.34375,0.1875,0.0625,0.03125
CoNi,8,0,0,1,1,0,0,0,0,3,1,2,0,3,1,1,0,0,1,0.25,0.125,0.34375,0.1875,0.0625,0.03125
FeFe,8,0,2,0,0,0,0,0,1,1,0,4,0,3,1,1,1,0,0,0.25,0.15625,0.125,0.125,0.28125,0.0625
