site_type,label
PtFe,0.38798136
FeCu,0.2017953
CuCu,0.62399477
CuZn,0.55077261
CuZn,0.65719276
PtCu,0.70727363
NiCu,0.57415043
CoCu,0.23990548
PtCo,0.53019746
PtCu,0.61333408
PtCu,0.64245379
FeFe,-0.35749165
PtFe,0.24658064
CoZn,0.52376835
ZnZn,0.60413298
CoCu,0.35501807
FeCo,-0.11069499
PtCo,0.55172434
ZnZn,0.52774994
CuZn,0.55065898
FeFe,-0.1548194
FeFe,-0.33554173
NiZn,0.50597295
NiNi,0.35602544
PtCo,0.62652946
PtFe,0.19957951
CoCu,0.32270963
CoCu,0.4316628
PtZn,0.7823439
NiZn,0.50261667
CuZn,0.53870652
FeFe,-0.36402674
CuCu,0.61411402
CoCu,0.33485378
FeCo,-0.11721401
FeFe,-0.21323603
FeFe,-0.30517135
CoCu,0.33153061
CuZn,0.70505454
NiCu,0.50131319
FeFe,-0.14451473
FeFe,-0.18285666
CoCu,0.32163289
PtNi,0.52325656
NiCu,0.50303059
CoNi,0.07200908
FeNi,-0.05318855
PtNi,0.57098055
FeZn,0.31715168
FeZn,0.32134801
FeCo,-0.10528785
FeFe,-0.09668754
FeZn,0.34467819
FeFe,-0.14736127
FeFe,-0.18720752
NiCu,0.45102267
NiZn,0.48660034
FeCu,0.17017147
FeZn,0.37947165
NiZn,0.5937991
FeNi,-0.02550239
NiZn,0.5448447
NiZn,0.49496855
